,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,period_mean,period_std
1,0.0,5774.0,5744.0,5833.0,5588.0,5236.0,4135.0,785.0,5789.0,5581.0,6496.0,6486.0,6746.0,5038.0,1349.0,7065.0,6697.0,7192.0,6826.0,6830.0,5160.0,1162.0,7216.0,6683.0,6662.0,5938.0,6085.0,4476.0,1081.0,6979.0,6450.0,5260.709677419355,2105.895252120396
2,6304.0,6118.0,6379.0,4636.0,921.0,6890.0,6549.0,6835.0,6112.0,5941.0,4208.0,873.0,6565.0,6055.0,5916.0,5767.0,5677.0,3840.0,827.0,6266.0,5772.0,5942.0,5575.0,5172.0,3573.0,788.0,5865.0,5600.0,,,,5034.5,1917.2588360585132
3,5780.0,5338.0,5244.0,3895.0,881.0,6027.0,5647.0,5865.0,5265.0,5172.0,3527.0,684.0,6185.0,5661.0,5534.0,5334.0,4831.0,3528.0,845.0,5982.0,5224.0,5332.0,5046.0,4889.0,3539.0,734.0,5516.0,5205.0,5188.0,4806.0,4869.0,4566.870967741936,1631.367396632561
4,3546.0,780.0,5518.0,5087.0,5253.0,4978.0,4818.0,3067.0,571.0,5137.0,5217.0,4892.0,4599.0,4393.0,2932.0,486.0,1234.0,5529.0,4937.0,5045.0,4871.0,3197.0,556.0,5065.0,4819.0,5048.0,4820.0,4971.0,2976.0,657.0,,3833.3,1747.7908647479971
5,0.0,6587.0,5515.0,5075.0,5061.0,3644.0,618.0,2005.0,6000.0,5503.0,5175.0,5218.0,3712.0,754.0,5581.0,5124.0,5109.0,5065.0,5098.0,3409.0,661.0,5516.0,5329.0,5343.0,2252.0,4674.0,3275.0,741.0,6363.0,5995.0,5935.0,4204.419354838709,1948.7135718073696
6,5525.0,5329.0,3899.0,747.0,2883.0,6314.0,6026.0,5748.0,5418.0,3596.0,742.0,6085.0,5825.0,5980.0,5626.0,5821.0,4015.0,759.0,6777.0,6851.0,7629.0,6896.0,6233.0,3932.0,846.0,6666.0,6156.0,6851.0,6835.0,6592.0,,5086.733333333334,2041.320024807027
7,4890.0,1094.0,7495.0,7559.0,7539.0,7245.0,7868.0,5101.0,1235.0,8112.0,9921.0,8601.0,7814.0,2871.0,4599.0,923.0,8597.0,8870.0,8281.0,8541.0,7678.0,5370.0,1173.0,8987.0,7864.0,7890.0,7218.0,6858.0,4731.0,977.0,7851.0,6250.096774193548,2756.6755262433853
8,7267.0,7562.0,7809.0,7889.0,4708.0,857.0,7258.0,7455.0,7144.0,6966.0,6612.0,4163.0,803.0,5771.0,2498.0,7252.0,6950.0,6246.0,4324.0,873.0,7459.0,6754.0,6752.0,6412.0,6335.0,4505.0,928.0,7753.0,7379.0,7202.0,7197.0,5776.870967741936,2291.0032699225244
9,6929.0,5236.0,1199.0,7894.0,7661.0,7567.0,7426.0,7037.0,5184.0,1213.0,8240.0,7405.0,7576.0,6945.0,7357.0,4962.0,998.0,7670.0,7202.0,7050.0,6444.0,6179.0,4478.0,936.0,7155.0,6744.0,6664.0,6216.0,6258.0,4635.0,,5948.666666666667,2165.9368178343925
10,964.0,7344.0,6670.0,6533.0,6431.0,6154.0,4540.0,911.0,6994.0,6624.0,6683.0,6222.0,6438.0,4230.0,926.0,6974.0,6367.0,6437.0,6124.0,5904.0,4363.0,830.0,6600.0,5960.0,6185.0,5689.0,6617.0,4635.0,1017.0,7384.0,6314.0,5324.645161290323,2107.543523447572
